SBT_Code|Bearing Type|Bearing Attributes
2201 E-2RS1TN9|Self-aligning ball bearings|Bore diameter: 12.0 mm, Outside diameter: 32.0 mm, Width: 14.0 mm, Basic dynamic load rating: 6.24 kN, Basic static load rating: 1.43 kN
2201 E-2RS1TN9|Self-aligning ball bearings|Bore diameter: 12.0 mm, Outside diameter: 32.0 mm, Width: 14.0 mm, Basic dynamic load rating: 6.24 kN, Basic static load rating: 1.43 kN
code not found|Bearing type not found|
NA 4905|Needle roller bearings with machined rings, with an inner ring|Bore diameter: 25.0 mm, Outside diameter: 42.0 mm, Width: 17.0 mm, Basic dynamic load rating: 24.2 kN, Basic static load rating: 34.5 kN
KR 19 PPA|Cam followers|Outside diameter: 19.0 mm, Attachment diameter: 8.0 mm, Total length: 32.0 mm, Width outer ring: 11.0 mm, Basic dynamic load rating: 3.47 kN, Basic static load rating: 3.8 kN
code not found|Bearing type not found|
2203 E-2RS1TN9|Self-aligning ball bearings|Bore diameter: 17.0 mm, Outside diameter: 40.0 mm, Width: 16.0 mm, Basic dynamic load rating: 8.84 kN, Basic static load rating: 2.2 kN
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
FYTB 20 TF|Ball bearing oval flanged units|Bore diameter: 20.0 mm, Overall height: 112.0 mm, Overall length: 60.5 mm, Overall unit width: 37.3 mm
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
6206-2ZNR|Deep groove ball bearings|Bore diameter: 30.0 mm, Outside diameter: 62.0 mm, Width: 16.0 mm, Basic dynamic load rating: 20.3 kN, Basic static load rating: 11.2 kN
code not found|Bearing type not found|
code not found|Bearing type not found|
NA 4901 RS|Needle roller bearings with machined rings, with an inner ring|Bore diameter: 12.0 mm, Outside diameter: 24.0 mm, Width: 14.0 mm, Width outer ring: 13.0 mm, Basic dynamic load rating: 8.09 kN, Basic static load rating: 9.65 kN
code not found|Bearing type not found|
1325252|Radial shaft seals for heavy industrial applications|Shaft diameter: 336.55 mm, Housing bore diameter: 374.65 mm, Nominal seal width: 19.05 mm
W 606-2Z|Deep groove ball bearings|Bore diameter: 6.0 mm, Outside diameter: 17.0 mm, Width: 6.0 mm, Basic dynamic load rating: 1.95 kN, Basic static load rating: 0.83 kN
empty code: result not found
empty code: result not found
empty code: result not found
empty code: result not found
11368|Radial shaft seals for general industrial applications|Seal width: 6.35 mm
FSNL 518-615 + C 2315|SE and SNL plummer block housings for bearings with a cylindrical bore, with standard seals|Shaft diameter: 75.0 mm, Shaft diameter: 85.0 mm, Designation bearing: C 2315 unit not found, Base width: 140.0 mm, Complete housing height: 194.0 mm, Spherical seat centre height: 100.0 mm, Overall length: 345.0 mm
6205-2ZNR|Deep groove ball bearings|Bore diameter: 25.0 mm, Outside diameter: 52.0 mm, Width: 15.0 mm, Basic dynamic load rating: 14.8 kN, Basic static load rating: 7.8 kN
W 6206-2Z|Deep groove ball bearings|Bore diameter: 30.0 mm, Outside diameter: 62.0 mm, Width: 16.0 mm, Basic dynamic load rating: 16.5 kN, Basic static load rating: 11.2 kN
W 626-2RS1|Deep groove ball bearings|Bore diameter: 6.0 mm, Outside diameter: 19.0 mm, Width: 6.0 mm, Basic dynamic load rating: 1.53 kN, Basic static load rating: 0.585 kN
61804-2RS1|Deep groove ball bearings|Bore diameter: 20.0 mm, Outside diameter: 32.0 mm, Width: 7.0 mm, Basic dynamic load rating: 4.03 kN, Basic static load rating: 2.32 kN
empty code: result not found
empty code: result not found
618/5|Deep groove ball bearings|Bore diameter: 5.0 mm, Outside diameter: 11.0 mm, Width: 3.0 mm, Basic dynamic load rating: 0.468 kN, Basic static load rating: 0.143 kN
618/6|Deep groove ball bearings|Bore diameter: 6.0 mm, Outside diameter: 13.0 mm, Width: 3.5 mm, Basic dynamic load rating: 0.715 kN, Basic static load rating: 0.224 kN
618/8|Deep groove ball bearings|Bore diameter: 8.0 mm, Outside diameter: 16.0 mm, Width: 4.0 mm, Basic dynamic load rating: 0.819 kN, Basic static load rating: 0.3 kN
619/8|Deep groove ball bearings|Bore diameter: 8.0 mm, Outside diameter: 19.0 mm, Width: 6.0 mm, Basic dynamic load rating: 1.46 kN, Basic static load rating: 0.465 kN
1210 ETN9|Self-aligning ball bearings|Bore diameter: 50.0 mm, Outside diameter: 90.0 mm, Width: 20.0 mm, Basic dynamic load rating: 26.5 kN, Basic static load rating: 9.15 kN
HK 1412|Drawn cup needle roller bearings|Diameter under rollers: 14.0 mm, Outside diameter: 20.0 mm, Width: 12.0 mm, Basic dynamic load rating: 6.82 kN, Basic static load rating: 8.65 kN
61803|Deep groove ball bearings|Bore diameter: 17.0 mm, Outside diameter: 26.0 mm, Width: 5.0 mm, Basic dynamic load rating: 2.03 kN, Basic static load rating: 1.27 kN
W 63800-2Z|Deep groove ball bearings|Bore diameter: 10.0 mm, Outside diameter: 19.0 mm, Width: 7.0 mm, Basic dynamic load rating: 1.48 kN, Basic static load rating: 0.83 kN
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
code not found|Bearing type not found|
6005-RSH|Deep groove ball bearings|Bore diameter: 25.0 mm, Outside diameter: 47.0 mm, Width: 12.0 mm, Basic dynamic load rating: 11.9 kN, Basic static load rating: 6.55 kN
