OrderID|Description|Partcode|Qty|Unit|Value
25027|" bearing N/ROLLER SL0405018(FAG NNF5018B"|43487|Pack|1515.84|
55952|" bearing SLO45032 (FAG REF NNF5032B.2LS.V "|43423|Ea|1274.24|
19720|  (dscntd) Ball bearing 3313 9058 fag    |43450|ft|342.43|
19724|(DSCNTD)Ball bearing 6226 9101 FAG|43450|ft|342.43|
93345|(DSCNTD)Ball bearing UNIT NP 1 1/4 FAG 9|43367|ea|181.02|
70863|(DSCNTD)Ball bearing 1040 X 1.1/2in FAG|3075AA-200N|1|each|31.75
88325|(DSCNTD)Ball bearing FAG LS13AC 5337 (KI|43526|ft|745.78|
22652|(DSCNTD)Ball bearing 6213 9573 FAG|43468|Ea|316.58|
74606|(DSCNTD)ROller bearing 20207T 9230 FAG or skF  |43571|Ea|6.76|
84720|(DSCNTD)bearing 6202-2RS FAG|43331|Ea|1228.65|
93341|(DSCNTD)bearing 6302-2RS FAG|152106|ea|181.02|
60642|(DSCNTD)FAG bearing 22214E1|43488|11|Ea|49.74
25027|(DSCNTD)FAG bearing SINGLE COVERED 6204-|43424|Ea|1515.84|
55952|FAG bearing 22211-E1|43451|Ea|1274.24|
19720|" FAG    6004ZZ bearing "|43451|Ea|342.43|
19724|FAG 6004ZZ bearing|43368|Ea|342.43|
93345|FAG bearing 3804-B-2RSR-TVH-HLC ROVEMA|3092AA-200N|1|Ea|181.02
25027|16005ZZ bearing|43527|Pack|1515.84|
19724|(DSCNTD) 223/2310 bearing - ROLLER. Make|43469|ft|342.43|
60646|(DSCNTD) 22309 HLMB bearing - ROLLER. NSK Ma|43572|Ea|949.74|
42788|22310E1-C3 SPHERICAL bearing FAG|43332|Ea|362.96|
88325|(DSCNTD)30216 FAG ROller bearing|43489|ft|745.78|
22652|(DSCNTD) 3209B-TVH bearing - INNER WORM|43425|Ea|316.58|
74606|32213A bearing[manfcode32213A][manf=FAG]|43452|2|Ea|6.76
25300|3306A bearing[manfcode3306A][manf=FAG][m|43452|Ea|675.01|
88325|3306A bearing[manfcode3306A][manf=FAG][m|43369|Ea|745.78|
25027|(DSCNTD) 3309C3 bearing - BALL. Make - F|43988|Ea|1515.84|
55952|ROller bearing TRIPLE RACE REF FAG|43924|1|Ea|1274.24
19720|60022RS bearing - MUST BE **INA/FAG MAKE**|43951|Ea|342.43|
36199|6005 2RS bearingS 6005.2RSR FAG|43951|1|Ea|341.8
42788|60072RSR FAG DEEP GROVE bearing|43868|Ea|362.96|
88325|60112RS bearing|4075AA-200N|1|Ea|745.78
88325|(DSCNTD) 6205-2ZR C3 bearing - BALL. Mak|44027|14|ft|745.78
25027|6206 2RS bearingS 6206-C-2HRS FAG|43969|Pack|1515.84|
19724|6206 bearing[manfcode6206][manf=FAG][mac|44072|ft|342.43|
60646|bearing - 6206-2Z:SKF|43832|11|Ea|949.74
42788|(DSCNTD) 6214-2ZR bearing - SEALED. LJ 7|152607|Ea|362.96|
