OrderID|Description|Partcode|Qty|Unit|Value
25027|""" bearing by BOBST with id of ge17c -- radial spherical type bearing"""|43487|Pack|1515.84|
55952| bearing 108tn9, the self-aligning ones from skf |43423|Ea|1274.24|
19720|  (dscntd) Ball bearing 3313 9058 fag    |43450|ft|342.43|
19724|"""(DSCNTD)Ball bearing 6226 9101 FAG"""|43450|ft|342.43|
93345|"(DSCNTD)Ball bearing UNIT NP 1 1/4 FAG 9"""|43367|ea|181.02|
70863|"(DSCNTD)Ball bearing 1040 X 1.1/2in FAG"""|3075AA-200N|1|each|31.75
88325|"(DSCNTD)Ball bearing FAG LS13AC 5337 (KI"""|43526|ft|745.78|
22652|"(DSCNTD)Ball bearing 6213 9573 FAG"""|43468|Ea|316.58|
74606|"(DSCNTD)ROller bearing 20207T 9230 FAG or skF  """|43571|Ea|6.76|
84720|"(DSCNTD)bearing 6202-2RS FAG"""""|43331|Ea|1228.65|
93341|"""(DSCNTD)bearing 6302-2RS FAG"""|152106|ea|181.02|
60642|"""(DSCNTD)FAG bearing 22214E1"""|43488|11|Ea|49.74
25027|"""(DSCNTD)FAG bearing SINGLE COVERED 6204-"""|43424|Ea|1515.84|
55952|Cooper bearings 22211ek, spherical rollers|43451|Ea|1274.24|
19720| SKF    2214 bearing |43451|Ea|342.43|
19724|FAG 6004ZZ bearing|43368|Ea|342.43|
93345|FAG bearing GE100 ES by fag, radial spherical bearings|3092AA-200N|1|Ea|181.02
25027|305704 C-2Z bearing by cooper, self aligners|43527|Pack|1515.84|
19724|"""  ge15es by skf, the radial    spherical bearings,     plain"""|43469|ft|342.43|
60646|(DSCNTD) 22309 HLMB bearing - ROLLER. NSK Ma|43572|Ea|949.74|
42788|gye 30krrb by SKF, insert bearings|43332|Ea|362.96|
88325|(DSCNTD)30216 FAG ROller bearing|43489|ft|745.78|
22652|(DSCNTD) 3209B-TVH bearing - INNER WORM|43425|Ea|316.58|
74606|NA4920 bearing[manfcode NA4920][manf=FAG]|43452|2|Ea|6.76
25300|3306A bearing[manfcode 3306A][manf=FAG][m|43452|Ea|675.01|
88325|NUKR351A bearing[manfcode NUKR35a][manf=FAG][m|43369|Ea|745.78|
25027|(DSCNTD) 3309C3 bearing - BALL. Make - F|43988|Ea|1515.84|
55952|ROller bearing FAG NUTR25a cam followers, 35mm outside d|43924|1|Ea|1274.24
19720|60022RSH bearing - MUST BE **INA/FAG or SKF MAKE**|43951|Ea|342.43|
36199|Timken 61805, deep grove vearings|43951|1|Ea|341.8
42788|NSK 524 deep grooves bearing|43868|Ea|362.96|
88325|SKF 629 ball bearings, deeep groves|4075AA-200N|1|Ea|745.78
88325|locknuts by SKF, KM18, threadsize 90mm|44027|14|ft|745.78
25027|FYTB504 M housing by skf (alt from fag)|43969|Pack|1515.84|
19724|51105 bearing[manfcode 51105][manf=FAG][mac|44072|ft|342.43|
60646|bearing - 22211EK - Cooper's|43832|11|Ea|949.74
42788|(DSCNTD) 6214-2ZR bearing - SEALED. LJ 7|152607|Ea|362.96|
93341|6000 bearing[manfcode 6000][manf=SKF][mac|43989|6|ea|181.02
36199|6001 bearing[manfcode 6001][manf=SKF][mac|43925|1|Ea|341.8
60646|6221 bearing[manfcode6221][manf=SKF][mac|43952|Ea|949.74|
88325|6002 bearing[manfcode 6002][manf=SKF][mac|43952|ft|745.78|
93345|(DSCNTD) N203ECP bearing - BALL. Make - FAG|43869|ea|181.02|
60646|(DSCNTD) 210-ECP bearing - BALL. Make - FAG|5092AA-200N|Ea|949.74|
70863|(DSCNTD) 2202-2RS bearing - . Make - FAG.|44028|each|31.75|
19720|(DSCNTD) NA 4920 bearing - BALL. Make - FAG|43970|Ea|342.43|
19724|(DSCNTD) NA6912 bearing|44073|Ea|342.43|
80442|(DSCNTD) NATR12 bearing - BALL. Make - FAG|43833|Ea|4.48|
42788|sfk p25tf plummer block units, SKF, RHP|43990|1|Ea|362.96
88325|SA12C rod ends, male , with 12 mm bore|43926|Ea|745.78|
42788|bearing SKF, RLS10, no specs|43953|Ea|362.96|
60646|(DSCNTD)B7004-C-T-P4S-UL bearing FAG|43953|Ea|1515.84|
88325|(DSCNTD)B7006C bearing|43870|1|Ea|1274.24
93345|SA 25 C rod ends, with male ends, |44408|Ea|342.43|
60646|S12C housing |44344|1|Ea|341.8
70863|(DSCNTD)Ball bearing 115DR HOFF 9414 420|44371|Ea|362.96|
19720|SKF TUJ60 take up units, SKF|44371|1|Ea|745.78
19724|Z206 washers, sealing - SKF |44288|14|ft|745.78
80442|bearing 22212 E|1633WZ|Pack|1515.84|
42788|YAR207-2F, inserts bearings skf|44447|ft|342.43|
88325|1217 bearing rhp or skf|44389|11|Ea|949.74
42788|bearing 2218 [manfcode= 2281][manf=FAG][ma|44492|Ea|362.96|
60646|Ball bearing 6220C3(PREHEATER) MACH=FAG|44252|6|ea|181.02
88325|Ball bearing 6220C3(PREHEATER) MACH=FAG|153027|1|Ea|341.8
93345|Ball bearing 7216 BEP 20583 1116 3302 angular contacts, skf|44409|Ea|949.74|
